,author_id,title,reviews,date,total_reviews_written,upvote,reviewer_name,ratings,start_time,end_time,companyName,scraped_site
0,ReviewRow-788,Unbelievably awful,"Awful, awful experience. Paid for expedited shipping/Saturday delivery. Ordered item 8 days ago. Delivery date has been kicked back 3 times. The warehouse my package is at is 25 minutes away. In trying to call customer service to speak to an agent, the automated system won't let me even do that.

Take my money for an expedited shipping & then do as little as possible to see thru that obligation. That's what I'm getting here.

I will go out of my way to never use Fed Ex again.
Service:1
Value:1
Shipping:1
Quality:1","May 8th, 2021",1,1,Mike L.,1.0,2021-05-30 09:42:09.126645,2021-05-30 09:42:13.565749,FedEx,Sitejabber
1,ReviewRow-279,Half backwards Delivery company,"I have a package that is supposed to come from California to NY.
I'm trying to wrap my head around why the people running FedEx would send my package on its way out of California then abruptly stop it almost halfway across the country in Wyoming and then turn the package back to a different part of California only to let it sit idle for 3 days so they can repeat the process all over again.
You can't even make this up.","May 11th, 2020",1,10,Sean P.,1.0,2021-05-30 09:42:13.565749,2021-05-30 09:42:15.795206,FedEx,Sitejabber
2,ReviewRow-525,It is unbelievable that a shipment stays 18 days in the DUBAI Arab Emirates customs for any reason.,"Hi,

I didn't receive my shipment *******03749 yet. It is unbelievable that a shipment stays 18 days in the DUBAI Arab Emirates customs for any reason. FedEx was one day the best carrier on earth but now the worst one. They deliberately leave shipments to accumulate and pick them altogether. I hope you convey my message to them.

نصيحة لوجه الله ابتعد عن فدكس لو يشحنوا لك اغراضك مجانا كانوا افضل شركة شحن في العالم ولكن تغير حالهم الى الاسوء","August 11th, 2020",3,2,Ali Z.,1.0,2021-05-30 09:42:15.795206,2021-05-30 09:42:20.011352,FedEx,Sitejabber
3,ReviewRow-775,Anybody but FedEx,"Absolutely the most inept, stupid, Garbage azz delivery company without a doubt. Been waiting 4 days and counting for a package shipped 120 miles from my residence. It's actually been at the FedEx hub 6 miles from my residence for going on 60+ hours and counting. Just see my tracking photos. They're self explanatory. Absolutely PATHETIC! Should be negative 2 STARS","April 27th, 2021",1,2,Scott M.,1.0,2021-05-30 09:42:20.011352,2021-05-30 09:42:23.252511,FedEx,Sitejabber
4,ReviewRow-630,Worst Shipping services in US,"My online orders had been delayed almost every single time in the last four month. If Fedex can't deliver them on time, why bother showing the false update on their website regarding the tracking. Horrible services even USPS looks brilliant compared to Fedex. Will never use them again. No wonder Amazon only uses Amazon for shipping and UPS for package return. This company should have been suspended all their services and issued apologies to the public.","December 11th, 2020",2,13,Liechung H.,1.0,2021-05-30 09:42:23.252511,2021-05-30 09:42:26.532207,FedEx,Sitejabber
5,ReviewRow-747,Delivery of Package Refund,"I payed a x amount of dollars to ship a Easter gift to someone and days later it is still in transit. They don't want to admit their mistake and they don't want to give a refund. They blame their ridiculous ""COVID-19 protocols"" but they are just lazy and don't care. COVID doesn't stop a person from delivering a package. I would never use them again and they are no different from the lazy USPS who don't care. Stealing peoples money is not how you run a business during a pandemic.
Service:1
Value:1
Shipping:1
Returns:1","April 5th, 2021",1,0,S P.,1.0,2021-05-30 09:42:26.532207,2021-05-30 09:42:28.936891,FedEx,Sitejabber
6,ReviewRow-782,Worst ever,"The worst service ever! Not just delayed days! When I call they are rude and not giving me an answer when I wanted to check the status on my package then kept me on hold for an hour before hanging up. Then when I finally received my package it was damaged. Now I'm supposed to get another package but again when it supposed to deliver today it's delayed too and it's only say delivery pending so god know when. I hate to work with them I wish I can control who delivers my packages
Service:1
Value:1
Shipping:1
Returns:1","May 3rd, 2021",1,1,Ghassan A.,1.0,2021-05-30 09:42:28.936891,2021-05-30 09:42:33.275535,FedEx,Sitejabber
7,ReviewRow-567,Package handling,Just received my new closet organizer and thank you to FedEx for their lousy way in handling freight open boxes and broken parts.,"September 18th, 2020",1,2,Juan C.,2.0,2021-05-30 09:42:33.275535,2021-05-30 09:42:37.502263,FedEx,Sitejabber
8,ReviewRow-607,Try not to use this delivery service it's horrendous!,I ordered a bed off purples website. It got shipped out fedex said it would be delivered by 11/09/2020. After fighting with customer service it just updated to unknown delivery date. My package has sat for 5 days in utah. Their is absolutely no reason for this crap. Especially it still being their when I ordered this product over 2 weeks ago. I will never be using this company again,"November 9th, 2020",1,3,dustin o.,1.0,2021-05-30 09:42:37.502263,2021-05-30 09:42:40.711288,FedEx,Sitejabber
9,ReviewRow-282,"Yes, you'll receive your package on this day... PSYCH","Cancelled everything.
Said my package would be here on this day.
I keep my door cracked so I don't miss him.
I check the tracking all day.
It gets later and later.
It went from your getting your package today to ""No scheduled delivery date available at this time.""
""Schedule delivery pending""
I called them customer service 3 times... their last information is the date it was mailed out.
We'll call you back... I'm still waiting for that call!
But this... this right here is typical FedEx.
Why I never use them.
This was my shippers choice.
I had no idea till it was after my package was sent...","May 12th, 2020",1,12,Esther S.,1.0,2021-05-30 09:42:40.711288,2021-05-30 09:42:44.919431,FedEx,Sitejabber
10,ReviewRow-681,Delivers on time every time,"Fedex is definitely the go to shipper. They consistently deliver on time, if not faster. Much more reliable than USPS. I just received a package (today is Sunday) and that's definitely something USPS would not do. USPS has lost a lot of things that I have ordered as well as shipped and they never take the blame for any of it. Fedex has never lost anything I have ordered or shipped and they are FAST! Thank you fedex and great job again.
Service:5
Value:5
Shipping:5
Quality:5","February 1st, 2021",1,1,Jake N.,5.0,2021-05-30 09:42:44.919431,2021-05-30 09:42:47.270783,FedEx,Sitejabber
11,ReviewRow-326,"Took your money, didn't deliver, no refunds!","I didn't know you can run a business in the US like this. If this is legal then I am opening a new courier service tomorrow!

No scheduled delivery date available at this time. Really? I paid 111 USD for you to not even have an estimate when you will deliver? How are you better than China post ground service, which ships for 1 dollar?","July 17th, 2020",1,6,Zhirayr A.,1.0,2021-05-30 09:42:47.270783,2021-05-30 09:42:49.504889,FedEx,Sitejabber
12,ReviewRow-665,THEY DO NOT DELIVER IN WESTERN NORTH CAROLINA,"I have lost so much money because of these people. I have 2 active claims against them and why people keep shipping with this company. I saw one at a local Hardee's driving his truck up on the curb, back and forth like some kid. I even went to my local law enforcement. I call them and they tell you the biggest BS story. Why they can't do anything. I have heard nothing from their management which tells me what kind of business they operate.
Service:1
Value:1
Shipping:1
Returns:1","January 6th, 2021",1,4,Mark H.,1.0,2021-05-30 09:42:49.504889,2021-05-30 09:42:51.869345,FedEx,Sitejabber
13,ReviewRow-586,They charge extra and make false promise for date of delivery,"Fedex charges you almost 3 times with a promise to deliver your package next day, but it is not able to fulfill on it's promise. I feel one should not pay extra money to fedex for their lies. They can't able to track your package or say what's going on. Fedex don't guarantee anything, and they don't have any customer care to reach out. If you are lucky enough to pass their phone trap, you will still get automated answer from representative in a repetitive mode.","October 14th, 2020",1,9,Dibya V.,1.0,2021-05-30 09:42:51.869345,2021-05-30 09:42:55.064999,FedEx,Sitejabber
14,ReviewRow-629,Terrible service,"Terrible service. I have been forced to wait by my front door for 4 days because Fedex keeps saying they attempted to deliver my package but nobody has answered the door. I think the driver doesn't even get out of the truck because I never saw or heard anything. When calling FedEx to ask if there's an alternative solution, I am unable to speak to a human. Their automated system simply tells me ""There's nothing else we can to do help you"" and hangs up on me. How is this acceptable service?","December 11th, 2020",1,6,carl m.,1.0,2021-05-30 09:42:55.064999,2021-05-30 09:42:59.292028,FedEx,Sitejabber
15,ReviewRow-296,Fraudulent delivery drivers,"I placed two orders of wine online -- one for myself, and one for a friend -- where I was assured that someone 21+ would have to sign to take delivery of the package. In both instances, the FedEx delivery driver dumped the package at the doorstep and forged the signature. Fortunately I happened to be home and have a ring alarm to alert me when my package was here. My friend, however, was out of town, and the package was on her step for days for anyone to take -- 21+ or otherwise. This is so illegal, I don't understand how this place is still in business.
Service:1
Value:1
Shipping:1
Returns:1","May 29th, 2020",2,8,R P.,1.0,2021-05-30 09:42:59.292028,2021-05-30 09:43:02.658056,FedEx,Sitejabber
16,ReviewRow-569,Can you please give me a negative value rating?,"There needs to be a negative rating, 1 star is entirely too high! This is the worst delivery company in the history of the planet! The pony express is faster and more reliable! The USPS is faster and more reliable, now thats bad! Fedex blows, avoid at all cost, I have gone as far as to stop buying from some of my favorite online retailers because they only offer fedex shipping. WhT else can I say, FedEx sucks beyond belief, go out of business already and do us all a favor!","September 21st, 2020",1,7,David J.,1.0,2021-05-30 09:43:02.658056,2021-05-30 09:43:06.902242,FedEx,Sitejabber
17,ReviewRow-247,FedEx Delivery is Very Unreliable,"I have operated my business in the same location for over 27 years. FedEx fails in delivering 95% of my packages.
This is obviously a sign of poor management in this area. I will not use FedEx services any longer. I am a very dissatisfied customer right now. My shipments have been promised for 5 days, and still no delivery and no reasonable answer. I was told ridiculous stuff like bad weather. In Atlanta?","February 22nd, 2020",1,1,Shelton M.,5.0,2021-05-30 09:43:06.902242,2021-05-30 09:43:11.159232,FedEx,Sitejabber
18,ReviewRow-766,WORST CUSTOMER SERVICE EVER,"I have a major issue with fedex. Their customer service is absolutely horrible. I have a shipment that shows my cartons departed orlando for west palm beach at 12:36am. It is only a 3 hour drive at most. As of now, 1:58pm not updates. With todays technology their is no way fedex cannot locate the trailer & give accurate information. All they do is speak to you in as mindless robots. I had a so called supervisor put me on hold for about 43 minutes, & then call went back to regular customer service. Worst ever!
Service:1
Value:1
Shipping:1
Quality:1","April 17th, 2021",1,2,Marc P.,1.0,2021-05-30 09:43:11.159232,2021-05-30 09:43:15.528645,FedEx,Sitejabber
19,ReviewRow-731,"Send a Message: Close Your FedEx Acc't, Open DHL and UPS Acc'ts!","Well, we all know how bad FedEx service -- particularly FedEx ground -- is. That's certain, documented, and no longer in question. And, they seem no longer to care; they ""give good phone,"" but actually do poorly. So, what is one to do? Let's all help ourselves while we send a message to FedEx that they will finally hear. My company just closed its FedEx account, and opened accounts with both UPS and DHL. To my pleasant surprise, they a) do MUCH better delivering, including both ground and air service, and b) have VERY convenient drop-off locations AND offices!
Service:1
Value:1
Shipping:1
Quality:1","March 21st, 2021",1,0,Samson M.,1.0,2021-05-30 09:43:15.528645,2021-05-30 09:43:18.849218,FedEx,Sitejabber
20,ReviewRow-293,Avoid if at all possible,"Items delivered via Fed Ex always come days later than promised if at all. Unreliable doesn't begin to describe it. Try calling customer service and spend 45 minutes on hold. They are hoping you will give up and hang up and go away. Drivers too stupid or lazy to find front main gate to my development. They come to back construction gate, can't get in so go away with my package!","May 28th, 2020",1,10,Susan K.,1.0,2021-05-30 09:43:18.849218,2021-05-30 09:43:22.079482,FedEx,Sitejabber
