,author_id,title,reviews,date,total_reviews_written,upvote,reviewer_name,ratings,start_time,end_time,companyName,scraped_site
0,ReviewRow-852,They're either stealing or the worst delivery service in America.,"I've noticed an increase in online sellers using LaserShip and since November of last year I've received ONE of the eight shipments meant to arrive. ONE. They all ""get lost"" at the facility 15 miles from my house. No one ever has any answers and then the seller has to issue a full refund. Smells like either an insurance fraud scam or just straight up theft.

What are LaserShip employees doing with all those ""lost"" items I wonder?
Service:1
Value:1
Shipping:1
Returns:1","February 16th, 2021",1,34,Nicole F.,1.0,2021-05-30 11:04:25.072190,2021-05-30 11:04:28.855096,LaserShip,Sitejabber
1,ReviewRow-950,"DISHONEST THIEF, UNTRUSTWORTHY, LIE about delivery","Most dishonest shipping company I have ever dealt with! On numerous occasions they claim to have ""delivered"" my package - delivered to me ""in person"" and faked my initials for receipt of package (at 11:22 PM, just before midnight!). Mind you, I have video footage from security cameras that is my proof that no driver ever was even near my house! Never. DISHONEST THIEF! Most UNTRUSTWORTHY Company I have ever dealt with. This is at least the 5th time that LaserShip falsely claims to have ""delivered my packages!
Service:1
Value:1
Shipping:1
Returns:1","April 19th, 2021",1,19,Cameron L.,1.0,2021-05-30 11:04:28.855096,2021-05-30 11:04:31.237865,LaserShip,Sitejabber
2,ReviewRow-1000,Worst delivery experience EVER!,"Not sure what possessed Walmart to use a company that barely holds a one star rating to ship high priced items, but never again. I like several others have never heard of this scam service before. There was no Pic taken of the item being left at the door and it for dang sure was not loaded onto the truck, sent out for delivery, and then delivered to my camera covered door step, all within 3 minutes.","May 24th, 2021",1,0,Arraia G.,1.0,2021-05-30 11:04:31.237865,2021-05-30 11:04:33.494507,LaserShip,Sitejabber
3,ReviewRow-851,Driver stole my package,"My tracking number showed up as delivered with a image from driver of my mail and parcel location closed and stating it was delivered to front door successfully with the package no where in site. The security cameras show the driver not even coming out the vehicle and marking it delivered. Customer support is useless and don't even care if the driver keep the items. I opened multiple cases and they get closed as resolved minutes later. Such scumbags!
Service:1
Value:1
Shipping:1
Returns:1","February 15th, 2021",1,25,Anthony R.,1.0,2021-05-30 11:04:33.494507,2021-05-30 11:04:36.845004,LaserShip,Sitejabber
4,ReviewRow-907,Worst shipping company!,Still waiting on a package that the delivery driver said he's tried to deliver to my house for several days now! He's a liar as I've been home and there's no reason he can't put the package in the mailbox or drop off at front door! These people are just lazy! They also NEVER tell the truth... customer service is a joke!,"March 20th, 2021",1,10,David D.,1.0,2021-05-30 11:04:36.845004,2021-05-30 11:04:39.065760,LaserShip,Sitejabber
5,ReviewRow-820,Never use this company,"This company was used to ship my package. It is a recurring shipment with an address that is correct and not at all difficult to find.
Laser ship decided against my wishes to ‘deliver' to the leasing office instead of the address on the label. I say ‘deliver'. Because I have never received that package. Laser ship's answer when questioned is ‘call the seller we delivered.' Well no you did not and I want to know why?
Service:1
Value:1
Shipping:1
Quality:1","January 21st, 2021",1,15,Kristen B.,1.0,2021-05-30 11:04:39.065760,2021-05-30 11:04:43.409739,LaserShip,Sitejabber
6,ReviewRow-842,"Had 2 orders from different companies, have not received one of them!","It is scary how horrible this company is! Just look at the reviews, oh my God! The same story as other people have. Had two orders from different sellers, it's shown ""deliver and left at the front door"" however I have not received squat, zero, bagel. Customer support is very lazy and seems lethargic, told me we see that you received next to the flowers at the front,. I was laughing because there are NO flowers at my doorstep. Horrible carrier, I wish they'd go broke and bankrupt. It's a scam company wasting people times and money. Yuck
Service:1
Value:1
Shipping:1
Returns:1","February 8th, 2021",1,18,I P.,1.0,2021-05-30 11:04:43.409739,2021-05-30 11:04:46.789784,LaserShip,Sitejabber
7,ReviewRow-479,NEVER DELIVERED. INCOMPETENT. LIARS. THIEVES.,"Had to have Amazon refund my money because the items I bought but never received were marked as ""Delivered"" by this horrible company. Same thing happened to one of my neighbors. Whenever I see that an item shipped by Lasership, I know it's either going to arrive several days after they've marked it as delivered, or never going to arrive at all. Are they incompetent or thieves? It baffles me that they're still in business. Amazon needs to cut ties with them immediately.","August 26th, 2020",1,58,James B.,1.0,2021-05-30 11:04:46.789784,2021-05-30 11:04:51.001470,LaserShip,Sitejabber
8,ReviewRow-549,Lazy & Disrespectful to customer and company,They drove up my drive way which become wide by the house at 10pm. I was home. Dog in house. I even still had amazon packages on porch I hadn't got to yet. They pulled up on side of truck and on my grass and literally opened window and threw out package. NOT EVEN JOKING! My security camera caught it all! That's disrespectful to me and to the company. Better be glad it was nothing breakable. We called but it was after hours. I posted on a few forums,"October 16th, 2020",1,25,Felicia W.,1.0,2021-05-30 11:04:51.001470,2021-05-30 11:04:54.230779,LaserShip,Sitejabber
9,ReviewRow-565,Worst of the worst,"Don't count on getting your package if it was shipped with Lasership. Search the internet for reviews about this company & they all sound the same. Their tracking information is not true. They lie about delivery. They jerked us around for over a week then lied that the package was delivered. Folks must be losing a fortune using these people. Ask your vendor before you order who they use to ship, if its these guys you may want to check other outlets. The WORST!","October 24th, 2020",3,41,Andy C.,1.0,2021-05-30 11:04:54.230779,2021-05-30 11:04:56.448267,LaserShip,Sitejabber
