,author_id,title,reviews,date,total_reviews_written,upvote,reviewer_name,ratings,start_time,end_time,companyName,scraped_site
0,ReviewRow-521,Great customer service,"I'm a store owner and I've started using this service in the last 2 months and the couple of times I've had any kind of problem (due to my mistakes), they have been super helpful and totally accommodating with my requests. So far so good. They are very quick to respond and they always come up with a clear and logical solution. I'm about to scale my store and I'm sure I will do it with them.
Service:5
Value:5
Shipping:5
Returns:5","January 26th, 2021",1,0,Teo P.,5.0,2021-05-30 12:40:16.333093,2021-05-30 12:40:19.819504,CJ Dropshipping,Sitejabber
1,ReviewRow-550,5/5 Best dropshipping agents,"They are so far the best agents you can deal with. They offer very good 24/7 support, fast and reliable shipping, they provide shipping labels, everything is perfect. I'm working with them for almost a year and have processed more than $300k worth of orders and I wouldn't change to any other agent.

The next will be to create my own brand after the CNY, and I'll be working with them shipping from local warehouses. Hopefully everything will be smooth as always.
Service:5
Value:5
Shipping:5
Returns:3","January 30th, 2021",1,1,Thibauld R.,5.0,2021-05-30 12:40:19.819504,2021-05-30 12:40:22.156698,CJ Dropshipping,Sitejabber
2,ReviewRow-753,Amazing company!,"I started with Cj Dropshipping in 2020 July, and I am so sad that I didn't know them before, they have a faster shipping speed at a reasonable price, had a few problems with live chat until I worked with my agent Skye, she is so amazing and I never saw anyone better than her in any other company, she responds in anytime (even at night! & weekends!)and really fast to fix any problem I get, I will definitely keep working with Cjdropshipping.","April 20th, 2021",1,0,Zeiad H.,5.0,2021-05-30 12:40:22.156698,2021-05-30 12:40:25.360602,CJ Dropshipping,Sitejabber
3,ReviewRow-293,Great shipping times and agent!,"I read another review to say UK shipping takes over a month.
I have to honestly say this has not been my experience.
So far I haven't had any item take over 15 days and have had zero complaints from my customers.
Great customer service - because so far there's been nothing that my agent Lynette hasn't been to resolve, fast and efficiently.
She has been an invaluable tool to support me and nothing is a problem for her.
100% I recommend them!","October 30th, 2020",1,0,Harriet B.,5.0,2021-05-30 12:40:25.360602,2021-05-30 12:40:29.554282,CJ Dropshipping,Sitejabber
4,ReviewRow-397,Good agent service,"My agent, Helen, is always prompt to response even on days when there are time differences or on weekends. This is a plus as I know there are progress and issues are taken care of in the shortest time possible. Delivery may be affected by shipping but was informed immediately by Helen, so I can subsequently inform my customers as part of after sales services. Thanks Helen!","December 14th, 2020",1,0,Vin C.,5.0,2021-05-30 12:40:29.554282,2021-05-30 12:40:31.774176,CJ Dropshipping,Sitejabber
5,ReviewRow-593,Amazing Customer Service!,"I just began a dropshipping business and after having not much luck finding suppliers, I found CJ and my experience with them has been fantastic! They even assigned my account an agent, Icy Hu, who has been so great to work with! Whenever I‘ve had a question or concern she always quickly helps resolve it, such great customer service from Icy and CJ!
Service:5
Value:5
Shipping:5
Quality:5","February 21st, 2021",1,0,Jeremy K.,5.0,2021-05-30 12:40:31.774176,2021-05-30 12:40:35.081968,CJ Dropshipping,Sitejabber
6,ReviewRow-829,CJ dropshipping service good choice for business,"I work with CJ 2 years and recommended the service.
From my experience, for me the service work very good.
CJ offers many possibilities that other services do not have.
And if they have additional options, you have to pay a lot for them.
CJ has developed a lot in the last 2 years and is doing his job better.
What is not found on other websites and is very good at CJ is the independent search for goods that CJ can then keep in his warehouse for the seller.
Once again, I highly recommend this website.
Service:5
Value:5
Shipping:5
Returns:5","May 19th, 2021",0,0,Robert M.,5.0,2021-05-30 12:40:35.081968,2021-05-30 12:40:39.366662,CJ Dropshipping,Sitejabber
7,ReviewRow-317,The BEST!,"CJ Dropshipping is the best app for drop-shippers because they let you customize your packaging with is a plus for branding aspect of your e-commerce business! They have a HUGE range of products to drop ship to and from.
It might seem scary at first but the customer service is amazing! My agent always replies to my silly questions so clearly, so quickly, and helps me so so much!
Love working with CJ Dropshipping!","November 17th, 2020",1,0,Jessie K.,5.0,2021-05-30 12:40:39.366662,2021-05-30 12:40:42.564428,CJ Dropshipping,Sitejabber
8,ReviewRow-592,A pleasure to work with,"CJ Dropshipping simplifies a lot of things and helps me worry less about procedures and most about actually running my business. They are super easy to deal with, great communication and trustworthy. Highly recommended!
Service:5
Value:5
Shipping:5
Returns:5","February 21st, 2021",1,0,Ioannis D.,5.0,2021-05-30 12:40:42.564428,2021-05-30 12:40:44.871187,CJ Dropshipping,Sitejabber
9,ReviewRow-590,Célia agent,"I will only give you Key points about my agent Celia. This is all you need to know;
1. Replies in the minute
2. Provides support from start to end whatever the task.
3. Very polite and knows what her job very well
4. So kind! For real, I couldn't find an upsell product so I spoke to her about it and no joke in the next 30m I had a product that goes with my product to use for upsell.
5. She has been great help so I would Say don't take up all her time cause I still need her help okay. Thanks for reading","February 20th, 2021",1,0,Will O.,5.0,2021-05-30 12:40:44.871187,2021-05-30 12:40:49.112033,CJ Dropshipping,Sitejabber
